001  00119 |Loss: 1.391 | Acc: 52.751% 
001  00120 |Loss: 1.383 | Acc: 52.995% 
001  00121 |Loss: 1.377 | Acc: 53.209% 
001  00122 |Loss: 1.373 | Acc: 53.375% 
001  00123 |Loss: 1.366 | Acc: 53.563% 
001  00124 |Loss: 1.360 | Acc: 53.774% 
001  00125 |Loss: 1.354 | Acc: 54.000% 
001  00126 |Loss: 1.347 | Acc: 54.216% 
001  00127 |Loss: 1.341 | Acc: 54.454% 
001  00128 |Loss: 1.335 | Acc: 54.651% 
001  00129 |Loss: 1.331 | Acc: 54.839% 
001  00130 |Loss: 1.324 | Acc: 55.078% 
001  00131 |Loss: 1.319 | Acc: 55.296% 
001  00132 |Loss: 1.314 | Acc: 55.492% 
001  00133 |Loss: 1.309 | Acc: 55.651% 
001  00134 |Loss: 1.303 | Acc: 55.848% 
001  00135 |Loss: 1.298 | Acc: 56.059% 
001  00136 |Loss: 1.291 | Acc: 56.267% 
001  00137 |Loss: 1.286 | Acc: 56.455% 
001  00138 |Loss: 1.281 | Acc: 56.675% 
001  00139 |Loss: 1.275 | Acc: 56.879% 
001  00140 |Loss: 1.270 | Acc: 57.042% 
001  00141 |Loss: 1.265 | Acc: 57.209% 
001  00142 |Loss: 1.260 | Acc: 57.411% 
001  00143 |Loss: 1.255 | Acc: 57.567% 
001  00144 |Loss: 1.251 | Acc: 57.720% 
001  00145 |Loss: 1.247 | Acc: 57.877% 
001  00146 |Loss: 1.240 | Acc: 58.128% 
001  00147 |Loss: 1.236 | Acc: 58.264% 
001  00148 |Loss: 1.231 | Acc: 58.451% 
001  00149 |Loss: 1.226 | Acc: 58.620% 
001  00150 |Loss: 1.221 | Acc: 58.750% 
001  00151 |Loss: 1.217 | Acc: 58.909% 
001  00152 |Loss: 1.212 | Acc: 59.061% 
001  00153 |Loss: 1.207 | Acc: 59.222% 
001  00154 |Loss: 1.203 | Acc: 59.370% 
001  00155 |Loss: 1.199 | Acc: 59.516% 
001  00156 |Loss: 1.195 | Acc: 59.635% 
001  00157 |Loss: 1.191 | Acc: 59.783% 
001  00158 |Loss: 1.187 | Acc: 59.944% 
001  00159 |Loss: 1.184 | Acc: 60.048% 
001  00160 |Loss: 1.180 | Acc: 60.186% 
001  00161 |Loss: 1.175 | Acc: 60.345% 
001  00162 |Loss: 1.172 | Acc: 60.450% 
001  00163 |Loss: 1.168 | Acc: 60.597% 
001  00164 |Loss: 1.164 | Acc: 60.747% 
001  00165 |Loss: 1.160 | Acc: 60.881% 
001  00166 |Loss: 1.157 | Acc: 61.013% 
001  00167 |Loss: 1.154 | Acc: 61.106% 
001  00168 |Loss: 1.151 | Acc: 61.217% 
001  00169 |Loss: 1.147 | Acc: 61.372% 
001  00170 |Loss: 1.143 | Acc: 61.489% 
001  00171 |Loss: 1.139 | Acc: 61.650% 
001  00172 |Loss: 1.135 | Acc: 61.769% 
001  00173 |Loss: 1.132 | Acc: 61.895% 
001  00174 |Loss: 1.128 | Acc: 62.029% 
001  00175 |Loss: 1.124 | Acc: 62.156% 
001  00176 |Loss: 1.121 | Acc: 62.274% 
001  00177 |Loss: 1.117 | Acc: 62.390% 
001  00178 |Loss: 1.114 | Acc: 62.500% 
001  00179 |Loss: 1.111 | Acc: 62.596% 
001  00180 |Loss: 1.107 | Acc: 62.726% 
001  00181 |Loss: 1.105 | Acc: 62.828% 
001  00182 |Loss: 1.101 | Acc: 62.964% 
001  00183 |Loss: 1.099 | Acc: 63.042% 
001  00184 |Loss: 1.096 | Acc: 63.137% 
001  00185 |Loss: 1.092 | Acc: 63.260% 
001  00186 |Loss: 1.089 | Acc: 63.403% 
001  00187 |Loss: 1.086 | Acc: 63.490% 
001  00188 |Loss: 1.083 | Acc: 63.610% 
001  00189 |Loss: 1.079 | Acc: 63.711% 
001  00190 |Loss: 1.076 | Acc: 63.832% 
001  00191 |Loss: 1.074 | Acc: 63.919% 
001  00192 |Loss: 1.070 | Acc: 64.038% 
001  00193 |Loss: 1.067 | Acc: 64.111% 
001  00194 |Loss: 1.064 | Acc: 64.191% 
001  00195 |Loss: 1.062 | Acc: 64.287% 
001  00196 |Loss: 1.059 | Acc: 64.401% 
001  00197 |Loss: 1.056 | Acc: 64.511% 
001  00198 |Loss: 1.053 | Acc: 64.611% 
