EPOCH=001,Accuracy= 96.370%
EPOCH=002,Accuracy= 97.600%
EPOCH=003,Accuracy= 98.100%
EPOCH=004,Accuracy= 98.280%
EPOCH=005,Accuracy= 98.240%
EPOCH=006,Accuracy= 98.240%
EPOCH=007,Accuracy= 98.430%
EPOCH=008,Accuracy= 98.130%
EPOCH=009,Accuracy= 98.170%
EPOCH=010,Accuracy= 98.720%
EPOCH=011,Accuracy= 98.410%
EPOCH=012,Accuracy= 98.480%
EPOCH=013,Accuracy= 98.590%
EPOCH=014,Accuracy= 98.190%
EPOCH=015,Accuracy= 98.450%
EPOCH=016,Accuracy= 98.240%
EPOCH=017,Accuracy= 98.520%
EPOCH=018,Accuracy= 98.400%
EPOCH=019,Accuracy= 98.220%
EPOCH=020,Accuracy= 98.460%
EPOCH=021,Accuracy= 98.380%
EPOCH=022,Accuracy= 98.540%
EPOCH=023,Accuracy= 98.570%
EPOCH=024,Accuracy= 98.570%
EPOCH=025,Accuracy= 98.700%
EPOCH=026,Accuracy= 98.800%
EPOCH=027,Accuracy= 98.670%
EPOCH=028,Accuracy= 98.610%
EPOCH=029,Accuracy= 98.380%
EPOCH=030,Accuracy= 98.800%
EPOCH=031,Accuracy= 98.700%
EPOCH=032,Accuracy= 98.840%
EPOCH=033,Accuracy= 98.620%
EPOCH=034,Accuracy= 98.700%
EPOCH=035,Accuracy= 98.490%
EPOCH=036,Accuracy= 98.720%
EPOCH=037,Accuracy= 98.730%
EPOCH=038,Accuracy= 98.700%
EPOCH=039,Accuracy= 98.690%
EPOCH=040,Accuracy= 98.680%
EPOCH=041,Accuracy= 98.900%
EPOCH=042,Accuracy= 98.810%
EPOCH=043,Accuracy= 98.810%
EPOCH=044,Accuracy= 98.420%
EPOCH=045,Accuracy= 98.520%
EPOCH=046,Accuracy= 98.650%
EPOCH=047,Accuracy= 98.780%
EPOCH=048,Accuracy= 98.670%
EPOCH=049,Accuracy= 98.380%
EPOCH=050,Accuracy= 98.830%
