001  00119 |Loss: 2.234 | Acc: 23.785% 
001  00120 |Loss: 2.232 | Acc: 23.932% 
001  00121 |Loss: 2.231 | Acc: 24.032% 
001  00122 |Loss: 2.229 | Acc: 24.155% 
001  00123 |Loss: 2.227 | Acc: 24.320% 
001  00124 |Loss: 2.225 | Acc: 24.446% 
001  00125 |Loss: 2.223 | Acc: 24.656% 
001  00126 |Loss: 2.220 | Acc: 24.833% 
001  00127 |Loss: 2.218 | Acc: 24.988% 
001  00128 |Loss: 2.216 | Acc: 25.146% 
001  00129 |Loss: 2.213 | Acc: 25.309% 
001  00130 |Loss: 2.211 | Acc: 25.469% 
001  00131 |Loss: 2.208 | Acc: 25.674% 
001  00132 |Loss: 2.206 | Acc: 25.852% 
001  00133 |Loss: 2.203 | Acc: 26.028% 
001  00134 |Loss: 2.200 | Acc: 26.195% 
001  00135 |Loss: 2.197 | Acc: 26.418% 
001  00136 |Loss: 2.194 | Acc: 26.511% 
001  00137 |Loss: 2.192 | Acc: 26.637% 
001  00138 |Loss: 2.189 | Acc: 26.789% 
001  00139 |Loss: 2.186 | Acc: 26.945% 
001  00140 |Loss: 2.182 | Acc: 27.126% 
001  00141 |Loss: 2.179 | Acc: 27.272% 
001  00142 |Loss: 2.176 | Acc: 27.388% 
001  00143 |Loss: 2.172 | Acc: 27.595% 
001  00144 |Loss: 2.169 | Acc: 27.789% 
001  00145 |Loss: 2.165 | Acc: 27.969% 
001  00146 |Loss: 2.161 | Acc: 28.168% 
001  00147 |Loss: 2.156 | Acc: 28.364% 
001  00148 |Loss: 2.151 | Acc: 28.590% 
001  00149 |Loss: 2.147 | Acc: 28.796% 
001  00150 |Loss: 2.143 | Acc: 28.979% 
001  00151 |Loss: 2.139 | Acc: 29.129% 
001  00152 |Loss: 2.134 | Acc: 29.287% 
001  00153 |Loss: 2.130 | Acc: 29.448% 
001  00154 |Loss: 2.126 | Acc: 29.632% 
001  00155 |Loss: 2.121 | Acc: 29.819% 
001  00156 |Loss: 2.117 | Acc: 29.968% 
001  00157 |Loss: 2.112 | Acc: 30.120% 
001  00158 |Loss: 2.107 | Acc: 30.281% 
001  00159 |Loss: 2.103 | Acc: 30.444% 
001  00160 |Loss: 2.099 | Acc: 30.591% 
001  00161 |Loss: 2.094 | Acc: 30.740% 
001  00162 |Loss: 2.089 | Acc: 30.922% 
001  00163 |Loss: 2.085 | Acc: 31.053% 
001  00164 |Loss: 2.079 | Acc: 31.264% 
001  00165 |Loss: 2.074 | Acc: 31.473% 
001  00166 |Loss: 2.069 | Acc: 31.598% 
001  00167 |Loss: 2.065 | Acc: 31.741% 
001  00168 |Loss: 2.060 | Acc: 31.910% 
001  00169 |Loss: 2.055 | Acc: 32.101% 
001  00170 |Loss: 2.050 | Acc: 32.302% 
001  00171 |Loss: 2.045 | Acc: 32.474% 
001  00172 |Loss: 2.039 | Acc: 32.667% 
001  00173 |Loss: 2.034 | Acc: 32.858% 
001  00174 |Loss: 2.028 | Acc: 33.059% 
001  00175 |Loss: 2.023 | Acc: 33.254% 
001  00176 |Loss: 2.018 | Acc: 33.425% 
001  00177 |Loss: 2.013 | Acc: 33.594% 
001  00178 |Loss: 2.007 | Acc: 33.804% 
001  00179 |Loss: 2.002 | Acc: 33.969% 
001  00180 |Loss: 1.996 | Acc: 34.171% 
001  00181 |Loss: 1.990 | Acc: 34.397% 
001  00182 |Loss: 1.984 | Acc: 34.607% 
001  00183 |Loss: 1.978 | Acc: 34.819% 
001  00184 |Loss: 1.973 | Acc: 35.042% 
001  00185 |Loss: 1.967 | Acc: 35.211% 
001  00186 |Loss: 1.962 | Acc: 35.383% 
001  00187 |Loss: 1.956 | Acc: 35.582% 
001  00188 |Loss: 1.950 | Acc: 35.792% 
001  00189 |Loss: 1.945 | Acc: 35.933% 
001  00190 |Loss: 1.940 | Acc: 36.102% 
